Executando combinação ID: 11
Parâmetros:
 generations=10
 pop_size=10
 crossover_prob=0.7
 mutation_prob=0.4
 max_level=10
 percentage_min_instances=0.05
 node_is_leaf=0.5
========================================


Virtual Best Solver (VBS): 22257.99
dualp-pesteep-psi--1.0-duals (SBA) = 92942.48
default (initialSolve): 118465.86
:::::::::População inicial:::::::::
 ind 0 has perfdegrad = 69167.08 and nodeLowRepres = 2
901 23 79 1 
 ind 1 has perfdegrad = 83986.35 and nodeLowRepres = 0
77 332 595 
 ind 2 has perfdegrad = 65071.32 and nodeLowRepres = 6
61 397 366 55 5 67 19 4 14 13 3 
 ind 3 has perfdegrad = 92893.75 and nodeLowRepres = 1
78 199 714 13 
 ind 4 has perfdegrad = 87197.98 and nodeLowRepres = 0
77 826 101 
 ind 5 has perfdegrad = 66632.93 and nodeLowRepres = 5
106 35 698 71 20 70 2 1 1 
 ind 6 has perfdegrad = 86183.92 and nodeLowRepres = 0
428 91 485 
 ind 7 has perfdegrad = 78145.27 and nodeLowRepres = 6
818 101 14 15 4 7 39 6 
 ind 8 has perfdegrad = 77485.63 and nodeLowRepres = 0
885 119 
 ind 9 has perfdegrad = 84002.63 and nodeLowRepres = 1
42 753 209 
------------------------------
f0 = [0, 2, 5, 8]
f1 = [1, 7]
[Geração 0] Sem melhora consecutiva: 0
[Geração 1] Sem melhora consecutiva: 0
[Geração 2] Sem melhora consecutiva: 1
[Geração 3] Sem melhora consecutiva: 2
[Geração 4] Sem melhora consecutiva: 0
[Geração 5] Sem melhora consecutiva: 0
[Geração 6] Sem melhora consecutiva: 0
[Geração 7] Sem melhora consecutiva: 0
[Geração 8] Sem melhora consecutiva: 0
[Geração 9] Sem melhora consecutiva: 0
[Geração 10] Sem melhora consecutiva: 0
[Geração 11] Sem melhora consecutiva: 1
[Geração 12] Sem melhora consecutiva: 2
[Geração 13] Sem melhora consecutiva: 0
[Geração 14] Sem melhora consecutiva: 0
[Geração 15] Sem melhora consecutiva: 0
[Geração 16] Sem melhora consecutiva: 1
[Geração 17] Sem melhora consecutiva: 2
[Geração 18] Sem melhora consecutiva: 0
[Geração 19] Sem melhora consecutiva: 1
[Geração 20] Sem melhora consecutiva: 0
[Geração 21] Sem melhora consecutiva: 0
[Geração 22] Sem melhora consecutiva: 1
[Geração 23] Sem melhora consecutiva: 2
[Geração 24] Sem melhora consecutiva: 0
[Geração 25] Sem melhora consecutiva: 0
[Geração 26] Sem melhora consecutiva: 0
[Geração 27] Sem melhora consecutiva: 1
[Geração 28] Sem melhora consecutiva: 0
[Geração 29] Sem melhora consecutiva: 0
[Geração 30] Sem melhora consecutiva: 0
[Geração 31] Sem melhora consecutiva: 0
[Geração 32] Sem melhora consecutiva: 1
[Geração 33] Sem melhora consecutiva: 0
[Geração 34] Sem melhora consecutiva: 0
[Geração 35] Sem melhora consecutiva: 0
[Geração 36] Sem melhora consecutiva: 0
[Geração 37] Sem melhora consecutiva: 0
[Geração 38] Sem melhora consecutiva: 0
[Geração 39] Sem melhora consecutiva: 1
[Geração 40] Sem melhora consecutiva: 0
[Geração 41] Sem melhora consecutiva: 0
[Geração 42] Sem melhora consecutiva: 0
[Geração 43] Sem melhora consecutiva: 1
[Geração 44] Sem melhora consecutiva: 0
[Geração 45] Sem melhora consecutiva: 1
[Geração 46] Sem melhora consecutiva: 0
[Geração 47] Sem melhora consecutiva: 0
[Geração 48] Sem melhora consecutiva: 0
[Geração 49] Sem melhora consecutiva: 1
[Geração 50] Sem melhora consecutiva: 0
[Geração 51] Sem melhora consecutiva: 0
[Geração 52] Sem melhora consecutiva: 0
[Geração 53] Sem melhora consecutiva: 1
[Geração 54] Sem melhora consecutiva: 0
[Geração 55] Sem melhora consecutiva: 1
[Geração 56] Sem melhora consecutiva: 2
[Geração 57] Sem melhora consecutiva: 3
[Geração 58] Sem melhora consecutiva: 0
[Geração 59] Sem melhora consecutiva: 1
[Geração 60] Sem melhora consecutiva: 0
[Geração 61] Sem melhora consecutiva: 0
[Geração 62] Sem melhora consecutiva: 0
[Geração 63] Sem melhora consecutiva: 0
[Geração 64] Sem melhora consecutiva: 0
[Geração 65] Sem melhora consecutiva: 0
[Geração 66] Sem melhora consecutiva: 1
[Geração 67] Sem melhora consecutiva: 0
[Geração 68] Sem melhora consecutiva: 1
[Geração 69] Sem melhora consecutiva: 0
[Geração 70] Sem melhora consecutiva: 0
[Geração 71] Sem melhora consecutiva: 1
[Geração 72] Sem melhora consecutiva: 0
[Geração 73] Sem melhora consecutiva: 0
[Geração 74] Sem melhora consecutiva: 1
[Geração 75] Sem melhora consecutiva: 0
[Geração 76] Sem melhora consecutiva: 0
[Geração 77] Sem melhora consecutiva: 1
[Geração 78] Sem melhora consecutiva: 2
[Geração 79] Sem melhora consecutiva: 3
[Geração 80] Sem melhora consecutiva: 4
[Geração 81] Sem melhora consecutiva: 0
[Geração 82] Sem melhora consecutiva: 1
[Geração 83] Sem melhora consecutiva: 0
[Geração 84] Sem melhora consecutiva: 1
[Geração 85] Sem melhora consecutiva: 0
[Geração 86] Sem melhora consecutiva: 1
[Geração 87] Sem melhora consecutiva: 0
[Geração 88] Sem melhora consecutiva: 1
[Geração 89] Sem melhora consecutiva: 2
[Geração 90] Sem melhora consecutiva: 3
[Geração 91] Sem melhora consecutiva: 4
[Geração 92] Sem melhora consecutiva: 5
[Geração 93] Sem melhora consecutiva: 6
[Geração 94] Sem melhora consecutiva: 7
[Geração 95] Sem melhora consecutiva: 0
[Geração 96] Sem melhora consecutiva: 0
[Geração 97] Sem melhora consecutiva: 1
[Geração 98] Sem melhora consecutiva: 0
[Geração 99] Sem melhora consecutiva: 1
[Geração 100] Sem melhora consecutiva: 0
